Field,Type,Required?,Enum/Set,Description,Steward
FACILITY_ID,Code,Y,,Unique identifier,Directory Steward
NAME,Text,Y,,Facility name,Directory Steward
PHONE,Text,Y,,Main phone,Directory Steward
CONTACT,Text,N,,Preferred contact for transfers,Directory Steward
METHADONE_INDUCTION,Enum,Y,Y|N,Accepts methadone induction,Directory Steward
METHADONE_CONTINUE,Enum,Y,Y|N,Continues methadone patients,Directory Steward
METHADONE_DETOX,Enum,N,Y|N,Provides methadone‑based detox,Directory Steward
SUBOXONE_INDUCTION,Enum,Y,Y|N,Initiates bupe/suboxone,Directory Steward
SUBOXONE_CONTINUE,Enum,Y,Y|N,Continues bupe/suboxone,Directory Steward
SUBOXONE_DETOX,Enum,N,Y|N,Provides bupe‑based detox,Directory Steward
TAKES_302,Enum,Y,Y|N,Accepts 302 (involuntary),Directory Steward
SECURE_DETOX_CAPABLE,Enum,Y,Y|N,Secure/involuntary capable detox,Directory Steward
CO_OCCURRING_SMI_CAPABLE,Enum,Y,Y|N,Dual‑capable (SUD+SMI),Directory Steward
BH_MED_INITIATION,Enum,Y,Y|N,Can initiate BH meds,Directory Steward
MEDICAL_ACUITY_CAPABILITY,Enum,Y,Low|Moderate|High,Medical acuity capability,Directory Steward
BED_STATUS,Enum,N,Open|Waitlist|Hold|Unknown,Current bed status (if known),Directory Steward
BED_STATUS_TS,TS,N,,Timestamp of last bed status update,Directory Steward
LAST_VERIFIED_TS,TS,Y,,Last verification timestamp,Directory Steward
VERIFIED_BY_USER_ID,User,Y,,User who verified,Directory Steward
VERIFICATION_METHOD,Enum,N,Call|Portal|Interface|Other,How verification was performed,Directory Steward
TRANSFER_INSTRUCTIONS,Text,N,,Any special instructions,Directory Steward
PAYER_PLAN_MATRIX,Complex,N,,"{PAYER_ID, PLAN_ID, IN_NETWORK(Y/N), NOTES, EFFECTIVE_FROM, EFFECTIVE_TO}",Rev Cycle/Steward
