Code,Label,Type,Notes
Searching,Searching,Status,Default when created
PendingReview,Pending Review,Status,Facility reviewing clinicals
PacketSent,Packet Sent,Status,Packet transmitted/printed
Accepted,Accepted,Status,Facility accepted patient
Denied,Denied,Status,Facility declined
NoBeds,No Beds,Status,No capacity available
Canceled,Canceled,Status,Search cancelled
CallBack,Call Back,NextAction,Call facility back at next_at
SendPacket,Send Packet,NextAction,Transmit packet via selected channel
RecheckBeds,Recheck Beds,NextAction,Check capacity later
Escalate,Escalate,NextAction,Escalate to attending/leadership
None,None,NextAction,No follow-up scheduled
